After School Programs,,,,,,,,,,,,,,,,
Afterschool Alliance lists a comprehensive guide to US Computer Science After School Programs and Curricula here,,,,,,,,,,,,,,,,
Great Advocacy.Code.org Report w/ data on computer science adoption and standards across US Schools here,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Program,Private/ Non-profit,Type,Objective,Location,Level,Gender,Race/Ethnicity,Underrepresented ,Community,Pre-rec,Target,Number of Participants,Duration,Cost,Funding,Investors
Code Ninjas,Private,Afterschool Program,"Code Ninjas® is the world’s largest and fastest-growing kids coding franchise, with hundreds of locations in the United States, Canada, and the United Kingdom. At our centers, kids learn to code while building their own video games. They gain problem solving, critical thinking, and STEM skills in a fun, safe, and inspiring environment.",39 States ,Ages 5-14,,,,,,"Elementary, Middle, High",,Depends on individual centers,request a quote,,
Stem Learning Labs,nonprofit,Curriculum,"STEM Learning Labs infuse Native culture with a fabrication-based STEM enrichment curriculum that specifically addresses the educational needs of Alaska Native students. This program aims to increase Alaska Native students’ ability to reach State academic standards in math and writing, as well as improve STEM engagement and community connectedness.",AK,"Students grades 3-6 year round and high school students in the summer, Alaksa Native Students",,Alaska Natives,Underrepresented,Community,,Elementary,Not Specified,Year-round,Free,Not Specified,"Our People, local government and community organizations"
STEM in Afterschool,nonprofit,Afterschool Program,"The Alaska Afterschool Network is dedicated to expanding access to productive out-of-school science, technology, engineering, and mathematics (STEM) learning programs by improving existing programs and creating new ones. STEM-focused programs that operate outside of school are uniquely effective at reducing achievement gaps. The network's desire is that every child in Alaska has access to high-quality STEM opportunities in their community during out-of-school time.",AK,K-12 Students,,,Underrepresented,Community,,"Elementary, Middle, High",Not Specified,,Year Round,Not Specified,"Chales Stewart Mott Foundation, Alaska Children's Trust, Anchorage Youth Development Coalition, Alaska HSS, Education and Early Development, 21st Century Community Learning Centers, bp, Mat-Su Health Foundation, Americorps Alaska, Afterschool Alliance, ExxonMobil"
Alabama STEM Education,Non-profit,Curriuculum,"Alabama STEM Education has taken the baton to train up a generation of people to cause significant change across the globe, through science, technology, engineering, and math. It starts with our community then their community and finally all communities teaching and growing one another for the same cause. Teaching critical thinking, and educating at an early age will create exponential results in underserved underrepresented communities, which will manifest a more sustainable and prosperous society.",AL,"Underrepresented Students, Middle and HIgh School",,,Underrepresented,Community,"Alabama Students, Underrepresented Students, ","Middle, High",Not Specified,10 Weeks,$250,Not Specified,"Dollar General, WALMART STORE #764, EEFS of Bessemer, Lowe's Home Inprovement, ​The Home Depot, The City of Bessemer, Bessemer City Engineers,​ ​UAB, School of Engineering, Auburn University, Jefferson Co. Sheriff, SBA, NSF (National Science Foundation),  Chris Swain/Monumental Construction, Wheeler Wrecker Service, 5 Star Real Estate, Bill Trucking"
Ed Farm Code Club,Nonprofit,Afterschool Program,"Ed Farm’s Code Clubs exist to empower all children to learn how to code and to create the opportunities for their generation and beyond. We accomplish this by partnering with schools and community-based organizations to provide weekly and bi-weekly coding workshops for students, tailored towards the specific needs of each individual community.

","Birmingham, AL",Students,,,Underrepresented,Community,,"Elementary, Middle, High",,Biweekly coding workshops,Free,,"Airship, Birmingham City Schools, Beloved Robot, City of Birmingham, Fleetio, Innovate Birmingham, Lawson State Community College, Mixtroz, MotionMobs, Pack Health, Protective Life, Shipt, Sigao Studios, TechBirmingham, UAB"
Ed Farm Student Fellows,Nonprofit,Curriculum,"Middle and high school students participate in year-long, challenge-based learning experiences designed to solve real community problems. At the beginning of each experience, community leaders identify a challenge and invite Student Fellows to solve it during the school year. Students work together to investigate the challenge, build digital skills, and create actionable solutions. Student Fellows present their solutions to the community at the end of the year.","Birmingham, AL",Middle and High School Students,,,,,,"Middle, High",,1 year,Free,,"Airship, Birmingham City Schools, Beloved Robot, City of Birmingham, Fleetio, Innovate Birmingham, Lawson State Community College, Mixtroz, MotionMobs, Pack Health, Protective Life, Shipt, Sigao Studios, TechBirmingham, UAB"
DPIE Get Inspired with Artificial Intelligence,Private,Afterschool Program,"Parents - AI is a technology that is changing our lives and future careers. It is a great time to introduce your child to the field of Artificial Intelligence! In our innovative class  - students learn the powerful technologies of Artificial Intelligence and Machine Learning in a fun and accessible way, and build working projects immediately. Most of our students want to learn more AI, programming and math even after finishing a class! Some have gone forward to win competitions! Spark a love of technology that will stay with them through to college, powered by our comprehensive Elementary, Middle School and High School programs where they can continue to learn AI and Programming!",CA,Grades 4-6,,,,,,"Elementary, Middle",,10 1-hour sessions,$175,,"El Monte RV, Pateclo Credit Union, Ulferts Center, Kaiser Permanente, Amador Valley Industries, Premier Health Care, Chevron, Dublin Toyota, Fremont Bank, 21, Extended Dy Chilfd Care Center Inc, East Bay Community Energy"
Young Wonks,Private,Curriculum,"YoungWonks Computer-Science, Coding and Electronics programs give kids and teens a solid foundation to visualize and create new products. It provides them the skills to give shape to their vision. This program encourages kids and teens to imagine, create and make. We believe in giving kids and teens the tools that will enable them to be innovators and build products and solutions of the future.",CA,K-12 students,,,,,,"Elementary, Middle, High",Not Specified,Year Round,$230 every four weeks,Not Specified,Not Specified
SMASH Academy,Nonprofit,Afterschool Program,"SMASH Academy, our flagship program, is a FREE, 3 year, intensive STEM focused college prep program that empowers students to deepen their talents and pursue STEM careers. For 4 – 5 weeks every summer, scholars are immersed in tuition-free studies in partnership with leading universities throughout the country.  During the academic year, scholars participate in monthly programming.",CA,High School,,,Underrepresented,Community,,High,,Year Round for three years,Free,,
Cyber Patriot Program,Nonprofit,Afterschool Program,"CyberPatriot is the National Youth Cyber Education Program.  At the center of CyberPatriot is the National Youth Cyber Defense Competition. The competition puts teams of high school and middle school students in the position of newly hired IT professionals tasked with managing the network of a small company. In the rounds of competition, teams are given a set of virtual images that represent operating systems and are tasked with finding cybersecurity vulnerabilities within the images and hardening the system while maintaining critical services in a six hour period.",CA,High School and Middle School,,,Underrepresented,,,"Middle, High",,Year round,Free,,
Hidden Genius Project intensive Immersion Program,Nonprofit,Fellowship,"Our Intensive Immersion Program is a 15-month holistic mentorship experience that provides computer science, software development, entrepreneurship, and leadership training to Black male high school students in Oakland, Richmond, and Los Angeles, CA.",CA,Black Male Students Grades 9-11,Male,Black/African American,Underrepresented,,,High,,15 months,Free,,"Kapor Center, Kaiser Permanente, "
Smash Rising,Nonprofit,Internship,"SMASH Rising places teams of SMASH alumni at workplaces to provide internship preparation and workplace exposure early in their college careers. This is a paid internship for SMASH Academy Alumni entering their first, second and third years of college.  The program, supported by dedicated project managers, allows Scholar-Intern teams to put the skills developed at SMASH Academy into action.",CA,High School,,,Underrepresented,,,High,,Summer,Free,,
GES Education Group,Private,Afterschool Program,"A good after school program can turn the aimless hours after school into productive learning time. We provide students with the opportunity to learn about the most advanced technologies and their applications, such as artificial intelligence and self-driving vehicle. Students not only develop their creativity and logical thinking skills, but also enjoy a lot of fun by working with peers on the hands on projects included in the classes.",CA,Pre K-12,,,,,,"Elementary, Middle, High, Educators",,Year Round,Request a Quote,,Not Specified
OBotz,Private,Afterschool Program,"With O’Botz after school program, prepare your child to contribute in creating this future. It offers comprehensive robotics courses for children aged 6+ years that equip them with the necessary skills in the domains of electronics, mechanical, programming & algorithms. O’Botz STEM program nurtures a child’s inquisitive mind with engaging hands-on techniques & experiments.",CA,Ages 6+,,,,,,"Elementary, Middle, High",,Year Round,Request quote,,
AIClub,Private,Afterschool Program,"Award winning Artificial Intelligence and Programming classes for Grades 4-12. Designed and taught by Computer Science PhDs. Proven success with hundreds of students, parent testimonials, and student competition wins.",CA,Grades 4-12,,,,,,"Elementary, Middle, High",,Year Round,Request quote,,
Solar Cup,Nonprofit,Afterschool Program,"Solar Cup 2021 will be an online STEAM-focused program where high school students will learn skills by working as a team and selecting from a menu of activities that cover a wide range of STEAM fields including robotics, solar power vehicles, utilizing CAD software, building online gaming, social media messaging, visual arts and dream job skills.  At the end of the Solar Cup 2021 program, teams will virtually race the solar vehicle kits they built during the program.",CA,High School,,,,Community,,High,,Year round,,,
