Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Juneau Yacht Club,https://www.jedc.org/stemak/,Summer Camp,Non-Profit,Elementary,Pay as you can,Juneau,AK,,,,Community,"Kids will have a blast programming Milo, their new robotic friend with WeDo software. Campers will build different configurations of Milo and learn about STEM and language as they catalog their progress in a story book. Puzzles, crafts, and games will keep campers engaged and curious all week long.",Grades 2-4,Pay as you can,,5 days
Pacific Northern University: Lego Robotics,https://www.pacificnorthern.org/create-academy/create-academy-camps-by-topic/,Summer Camp,University,Elementary,310.0,Pacific Northern University,AK,,,,,"Build robots that spin, push, or respond to sound. Program them with visual drag-and-drop programming software. Design robots to complete simple and challenging tasks like animals that move or vehicles with sounds and lights. Campers will work individually using Beebots or LEGO® Education WeDo kits.",Grades 2-3,310.0,,
Pacific Northern University: Mindstorm Robotics,https://www.pacificnorthern.org/create-academy/create-academy-camps-by-topic/,Summer Camp,University,"Elementary, Middle",310.0,Pacific Northern University,AK,,,,,"Build robots that move, spin, push, light up and make sounds. Program them with visual drag-and-drop programming software. Design robots to complete simple and challenging tasks like driving through a maze. Each student will work individually using a LEGO® MINDSTORMS EV3 kit.",Grades 3-6,310.0,,
Pacific Northern University: Techgirls Robotics,https://www.pacificnorthern.org/create-academy/create-academy-camps-by-topic/,Summer Camp,University,Elementary,310.0,Pacific Northern University,AK,Underrepresented,Female,,,"Build robots that move, spin, push, light up and make sounds. Program them with visual drag-and-drop programming software. Design robots to complete simple and challenging tasks like driving through a maze. Project will expand upon previous weeks. Each student will work individually using a LEGO® MINDSTORMS EV3 kit.",Grades 3-5,310.0,,
UAA Stem Engineering Academy,https://www.uaa.alaska.edu/academics/college-of-engineering/community/summer-academies/,Summer Camp,University,"Elementary, Middle, High",250.0,University of Alaska Anchorage,AK,,,,,"The UAA Summer Engineering Academies are a series of week-long, hands-on instructional sessions for students entering grades 3 through 12 in Anchorage and Mat-Su. Each academy is designed to encourage interest in and provide exposure to science, technology, engineering, and mathematics (STEM). The academies also seek to support historically underserved and underrepresented students.",Grades 3-12,250.0,,1 week
Advanced EV3 Camp,https://www.jedc.org/firstinalaska/,Summer Camp,Non-Profit,Middle,125.0,Virtual,"AK, Virtual",,,,Community,"4th-8th grade students will explore EV3 Mindstorms Classroom (new programming language used by FIRST LEGO League) by completing coding challenges using sensors, motors, and the engineering process. By the end of the week, campers will be able to program a heavy-weight wrestling machine!",Grades 6-8,125.0,,2 weeks
ASE Stem Camp Middle/High: Bessemer,https://campscui.active.com/orgs/AlabamaSTEMEducationINC?orglink=camps-registration,Summer Camp,Non-Profit,"Elementary, Middle",$400-$750,Bessemer,AL,Underrepresented,,,Community,"Alabama STEM Education will reach out to as many people as possible with in our local area via seminars, events, forums and educational newsletters. This should help to raise awareness of the importance of education particularly STEM education for future generations.",Age 10-13,$400-$750,,1-2 months
ASE Stem Camp Elementary: Bessemer,https://campscui.active.com/orgs/AlabamaSTEMEducationINC?orglink=camps-registration,Summer Camp,Non-Profit,Elementary,50.0,Bessemer,AL,Underrepresented,,,Community,"Alabama STEM Education will reach out to as many people as possible with in our local area via seminars, events, forums and educational newsletters. This should help to raise awareness of the importance of education particularly STEM education for future generations.",Age 5-9,50.0,,1-2 months
ASE Stem Camp Middle/High: Birmingham,https://campscui.active.com/orgs/AlabamaSTEMEducationINC?orglink=camps-registration,Summer Camp,Non-Profit,"Elementary, Middle",$400-$750,Birmingham,AL,Underrepresented,,,Community,"Alabama STEM Education will reach out to as many people as possible with in our local area via seminars, events, forums and educational newsletters. This should help to raise awareness of the importance of education particularly STEM education for future generations.",Age 10-13,$400-$750,,1-2 months
ASE Stem Camp Elementary: Birmingham,https://campscui.active.com/orgs/AlabamaSTEMEducationINC?orglink=camps-registration,Summer Camp,Non-Profit,Elementary,50.0,Birmingham,AL,Underrepresented,,,Community,"Alabama STEM Education will reach out to as many people as possible with in our local area via seminars, events, forums and educational newsletters. This should help to raise awareness of the importance of education particularly STEM education for future generations.",Age 5-9,50.0,,1-2 months
Alabama Computer Science Camp,http://outreach.cs.ua.edu/camps/,Summer Camp,University,High,$400-$600,University of Alabama,AL,,,,,"The University of Alabama Department of Computer Science within the College of Engineering has hosted a series of Computer Science camps each summer. For Summer 2022, we will offer one week of camp (commuter or residential dorm) for high school students (rising 10th through 12th graders). Students will be taught multiple topics of Computer Science while learning to program in several exciting contexts. The Computer Science camps are taught by UA Computer Science faculty in a manner that encourages self-exploration across multiple projects.",Grade 10-12,$400-$600,,1 Week
UNA STEMP Camp,https://www.una.edu/math/summer-stem-camp.html,Summer Camp,University,"Middle, High",225.0,University of North Alabama,AL,,,,,"The University of North Alabama Summer STEM camp is a 3 day residential camp whose purpose is to introduce, inspire, equip and motivate middle and high school students to participate in Science, Technology, Engineering and Mathematics (STEM). Read about the 2015 camps here.",Middle and High School,225.0,,3 days
Space Camp Robotics,https://www.spacecamp.com/robotics,Summer Camp,Private,"Elementary, Middle, High",1099.0,US Space and Rocket Center,AL,,,,,"Trainees work together to learn engineering and design of robotics on land, in the air and underwater.",Grades 4-9,1099.0,,1 week
CUSI Coding Camp,https://www.astate.edu/college/ecs/outreach-coecs/engrcamp.dot,Summer Camp,University,High,175.0,Arkansas State University,AR,,,,,"Arkansas State University, with support from Continental Utility Solutions, Inc. (CUSI) of Jonesboro, will host a week-long coding camp for students who are in their 9th, 10th and 11th grade in the current academic year, 2020-2021. These camps will begin on Monday, June 7 – June 11th and also June 21 – June 25th, 2021 from 9 AM to 4 PM each day which will be offered during two separate weeks during Summer 2021.",Grades 9-11,175.0,,5 days
Arizona State University - AI4ALL,http://ai-4-all.org/summer-programs/,Summer Camp,Non-Profit,High,,*Phoenix,AZ,Underrepresented,,,,"AI is everywhere. Help create the future by learning how to use AI to solve problems you care about. At AI4ALL Summer Programs, you’re immersed in hands-on learning, mentorship by top AI practitioners, and supportive peer networks at top universities.",High School,,,3 weeks
University of Arizona Summer Engineering Academy,https://www.engineering.arizona.edu/k12/k12_SEA,Summer Camp,University,High,Not Specified,*University of Arizona,AZ,,,,,"The UA College of Engineering has hosted the Summer Engineering Academy (SEA) for more than 30 years. SEA offers (virtual in 2021!) summer camps for high school students, including graduated seniors, who want to learn more about engineering – and get a taste of life as a Wildcat! In 2019, we hosted more than 200 students from 14 states, 3 countries, and over 120 high schools. SEA attendees:",Grade 10-12,Not Specified,,1 Week
