Conferences / Challenges,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Program,Organization Type,Type,Objective,Sponsor (s),Gender,Race/Ethnicity,Underrepresented,Community,Pre-recs,Target,Level,Location,Length,Cost
The Governor's App Challenge,Government,Challenge,The Governor's App Challenge is a statewide computer programming competition for Alabama students.  The goal of the Challenge is to allow more students to gain recognition for their mastery and application of computer programming and design!,,,,,,Alabama Students,High,Alabama High School Students,AL,,Free
Congressional App Challenge,Government,Challenge,Every year we challenge students in our districts to create and submit their original apps for a chance to win the Congressional App Challenge (CAC). Each challenge is district-specific. As U.S. Representatives we publicly recognize our winning teams and each winning app may be put on display in the U.S. Capitol Building for one year. Additional prizes may be available. The Congressional Internet Caucus initiates the annual CAC. We have appointed the non-profit Internet Education Foundation to provide the CAC with supplemental staffing and support.,"USP, Synchrony, ACT The App Associetion, The Deomocracy Fund, The Coder School, Accenture,  Amazon, Facebook, Society for Science, Comcast NBC Universal, Capitol One",,,,,,"Middle, High",Middle and High School Students,USA,,Free
Cyber Patriot National Youth Cyber Defense Competition,Government,Challenge,"CyberPatriot's National Youth Cyber Defense Competition is the world's largest cybersecurity competition and is open to all schools and approved youth organizations. Before getting started with the registration process, review this competition overview to get a better understanding of the competition!
","Northrop Grumman Foundation, AFA",,,,,,"Middle, High",Middle and High School Students,USA,,Free
Optimus Prime Spinoff Promotion and Research Challenge,Government,Challenge,"OPTIMUS PRIME wants you to identify NASA Spinoff technology in your world and test your skills at designing an innovation that will make your universe a better place! By taking on this mission, you will work with technologies that expand our knowledge of galaxies, black holes and other astrophysics-related objects. Just like an engineer, you will use an engineering design process to create your own spinoff that may solve a real-world problem for the stars and beyond. Using a combination of text, images, and videos, you will create a webpage with Adobe Spark for Education to share your ideas with NASA.","NASA, Foundation for Technology and Privacy Outreach, Mad Science, National Institute of Aerospace, PRIVO, James Webb Space Telescope, Goddard Space Flight Center, aw3DU",,,,,,"Middle, High",Students,USA,,Free
The American Rocketry Challenge,Government,Challenge,"The American Rocketry Challenge is the world’s largest rocket contest with nearly 5,000 students nationwide competing each year. The contest gives middle and high school students the opportunity to design, build and launch model rockets and hands-on experience solving engineering problems.","Aerospace Industries Association, Raytheon Technologies, Northrop Grumman Foundation, Aerojet Rocketdyne, Bae Systems, Boeing, Ducommun, Elbit Systems, Howmet Aerospace Foundation, L3Harris, Accenture, Click Bond, Cubic, Eaton, Huntington Ingalls Industries, NAR, AAPT, AIAA, ESTES, Kerbal Space Program, Aerospace Special Interest Group, The Mars Generation, DoD, NASA", ,,,Community,,"Middle, High",Students,USA,,Free
Nasa Entrepreneurs Challenge,Government,Challenge,"Seeks to identify individuals and promising commercial companies working on technology that will advance the state-of-the-art in AI, mass spectrometry, and quantum sensors. ",NASA partnership with Starburst,,,,,,"Postsecondary, Professionals",N/A,,,Free
DARPA Cyber Grand Challenge,Government,Challenge,"Create automatic defensive systems capable of reasoning about flaws, formulating patches and deploying them on a network in real time",,,,,,,"Postsecondary, Professionals",,,,Free
National Science Bowl,Government,Challenge,"At the National Science Bowl, high school and middle school students participate in a nation-wide competition to test their knowledge of STEM fields and encourage students to explore careers in STEM.  High school and middle school students are quizzed in a fast paced question-and-answer format similar to Jeopardy.",DoE,,,,Community,,Middle. High,,USA,,Free
The Better Buildings Case Competition,Government,Challenge,"The Better Buildings Case Competition challenges the next generation of engineers, entrepreneurs and policymakers to devise actionable ways to cut energy waste and improve commercial building efficiency. Using real-world scenarios and data, university and graduate teams develop creative solutions for common energy efficiency problems that private-sector organizations and state and local governments could replicate.",DoE,,,,,,Postsecondary. professionals,,USA,,Free
AI Family Challenge (Technovation),Nonprofit,Challenge,"Learn what Al is, how it works, and how to use it to solve a problem in local community","Google, GM, AAAI, Nvidia, UBER, Full List",,,Underrepresented ,Community,,Anyone,,,,Free
