Curricula,,,,,,,,,,,,,,,,,
Afterschool Alliance lists a comprehensive guide to US Computer Science After School Programs and Curricula here,,,,,,,,,,,,,,,,,
Great Advocacy.Code.org Report w/ data on computer science adoption and standards across US Schools here,,,,,,,,,,,,,,,,,
Program,Private/ Non-profit,Type,Objective,Location,Level,Gender,Race/Ethnicity,Underrepresented,Community,Pre-recs,Target,Number of Participants,Duration,Cost,Funding,Investors,
Technovation Girls,Nonprofit,Curriculum,"A global tech education nonprofit that empowers girls and families to become leaders, creators and problem-solvers. Two programs – Technovation Girls and Technovation Families – which bring kids and adults together to solve big problems in their communities.",Virtual,Grades 5-12 girls and educators,Female,,Underrepresented,Community,,"Elementary, Middle, High, Educators","Reportedly served over 140,000 students",20 hours total,Free,Not specified,Not specified,
Code.org,Nonprofit,Curriculum,"Code.org® is a nonprofit dedicated to expanding access to computer science in schools and increasing participation by young women and students from other underrepresented groups. Our vision is that every student in every school has the opportunity to learn computer science as part of their core K-12 education. The leading provider of K-12 computer science curriculum in the largest school districts in the United States, Code.org also created the annual Hour of Code campaign, which has engaged more than 15% of all students in the world. Code.org is supported by generous donors including Microsoft, Facebook, Amazon, the Infosys Foundation, Google and many more.",Virtual,K-12 and K-12 Educators,,,Underrepresented,,,"Elementary, Middle, High, Educators",Not specified,Not specified,Free,$57.8 million,"Bill & Melinda Gates Foundation, PwC, Infosys, Google, Mark Zuckerburg, Infosys Foundation, Priscilla Chan, Microsoft",
AI for Teachers,Nonprofit,Curriculum ,Canvas modules made available for K-12 educators that cover curriculum about introducing educators to AI and about Augmented Humanity ,NC,K-12 Educators,,,,,,Educators,Not Specified,2 Modules,Free,not Specified,NC School of Science and Math,
K12 Computer Science,Nonprofit,Curriculum,"The framework promotes a vision in which all students critically engage in computer science issues; approach problems in innovative ways; and create computational artifacts with a personal, practical, or community purpose. The framework offers a set of guidelines that could be used to inform the development of standards, curriculum, and computer science pathways, and also help school systems build capacity for teaching computer science to a diverse student population.",Virtual,"K-12 Educators, school districts, organizations",,,Underrepresented,,,"Elementary, Middle, High, Educators",Not specified,Not specified,Free,Not specified,"Partners: Accenture, Apple, Amazon, Google, Microsoft, SAP, Expedia, Blackrock,  College Board, Code.org, and many others",
CS For ALL Curricula Directory,Nonprofit,Curriculum,"National hub for the Computer Science to build rigorous, inclusive, & sustainable CS education for all students. CS for ALL is a 10-year initiative designed to provide a meaningful, high-quality computer science education to public school students in the NYC school system at each school level—elementary, middle and high school. By 2025, the NYC Department of Education (DOE) will train nearly 5,000 teachers who will bring CS education tothe city’s 1.1 million public school students.",Virtual,Educators and students/ NYC public students,,,Underrepresented,,,"Elementary, Middle, High, Educators",Not specified,Not specified,Free,Not specified,Not specified,
Explore AI Ethics,Nonprofit,Curriculum,"Explore AI Ethics is a curated directory of educational resources for teaching and learning about the ethics of artificial intelligence. Organized and searchable by both topic and category, each page contains either a short excerpt from the resource, a press release, a video, or in cases where permission has been granted, the full text. The View Resource button provides a convenient link back to the original content. Your contributions and comments are always welcome. Please use the Contact Form to send feedback or suggest a resource.",Virtual,"Students, policymakers, educators, and programers",,,,,,"Elementary, Middle, High, Educators, Professionals",Not Specified,Extensive Courses,Free,Not Specified,Supported by extensive list of AI for good organizations,
Cyber.org,Nonprofit,Curriculum,"CYBER.ORG empowers educators to teach cyber confidently, resulting in students with the skills and passion needed to succeed in the cyber workforce. Provides collection of learning paths and professional development in cyber. ",Virtual,Grades K-12 students educators,,,Underrepresented,,,"Elementary, Middle, High, Educators","Reportedly over 18,000 teachers using content platform",Varies (5-180 hours per course),Free,Not specified/ United States Department of Homeland Security supports CYBER.ORG through a grant from the Cybersecurity Infrastructure and Security Agency (CISA),"Partners: Louisiana Tech Uni., Nasco Education, Palo Alto Networks, CISA, NSF, Girls Scots, Parrallax Inc, CISA, US Cyber Range of Virginia Tech",
DoEd You for Youth ,Nonprofit,Curriculum,"Free online professional and technical training to encourage hands-on, minds-on opportunities to learn how computer scientists think, and to use “computational thinking” skills to solve problems, develop solutions and innovate. To build a community of caring and competent professionals who nurture, motivate, and engage children and youth in 21st CCLC programs.
",Virtual,Educators,,,,,,"Educators, Professionals",No limit,Not specified,Free,Over $850k (contract from Dept. of Education),,
Teaching Kids Programming,Nonprofit,Curriculum,TKP is volunteer programmers and teachers who write open source TKPJava courseware,Virtual,Middle and High School educators,,,Underrepresented,Community,,Educators,,Over 80 lessions that range from 30-60 minutes,Free,,Not Specified,
Joint Science and Technology Institute,Nonprofit,Curriculum,"The Joint Science and Technology Institute (JSTI) STEM Teacher Education Project (STEP) provides absolutely free professional development opportunities across the country for a limited number of schools in need. Our focus is on teachers of content areas that align with Department of Defense research interests, such as biotechnology, water quality, design thinking, and much more!",Virtual,K-12 Educators,,,Underrepresented,Community,,Educators,,,Free,,"Defense Threat Reducation Agency, Oak Ridge for Science and Education",
