Federal Inititatives/ Scholarships,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Program,Type,Organization Type,Sponsor,Objective,Acceptance Rates (when applicable),Pre-recs,Level ,Target,Race/Ethnicity,Underrepresented,Location,Duration,Grant/Amount,Cost,,,
Ernest F. Hollings Undergraduate Scholarship,Scholarship,Government,NOAA,"The Hollings Scholarship Program provides successful undergraduate applicants with awards that include academic assistance (up to $9,500 per year) for two years of full-time study and a 10-week, full-time paid ($700/week) internship at a NOAA facility during the summer.","120+ students per year recieve scholarship, and about 500 students apply (25% acceptance rate)", ,First and second year undergraduate students,Postsecondary,,,USA,Summers,"$9,500 per year in tuition support and weekly summer stipend of $700",Free,,,
Jefferson Science Fellowship Program,Fellowship,Government,Department of State,"Established in 2003, the Jefferson Science Fellows (JSF) program is a model for engaging the American academic science, technology, and engineering communities in the formulation and implementation of U.S. foreign policy. The JSF program is overseen by the Office of the Science and Technology Adviser to the Secretary of State, with administrative support of the National Academies. It is a model of a public-private partnership between the U.S. academic community, professional scientific societies, and the U.S. Department of State and U.S. Agency for International Development (USAID).","14 accepted in 2020, ","U.S. Citizens, Scientists and engineers who are tenured faculty from U.S. institutions of higher learning",University Faculty,Professionals,,,USA,1 year,,Free,,,
AMS Graduate Fellowships,Fellowship,Government,AMS,"The AMS Fellowship Program is a source of unique opportunities for outstanding students looking to pursue graduate education in the atmospheric or related sciences. To date, 368 students have been designated as AMS fellowship recipients. The program helps these first-year graduate students to be educated about unique challenges facing the world so that they may better tackle real-world issues after graduation. Fellowships come with several benefits that include financial support, the opportunity to be special guests at the AMS Annual Meeting with exclusive events therein, and ongoing academic and career support from AMS.","14 recipiants for about 70 applicants, 20% acceptance rate","Entering first year of graduate school, Pursuing a degree in the atmospheric or related sciences at a US accredited institution, 3.0 GPA minimum, U.S. Citizen or permanent resident ",First Year Graduate Students,Postsecondary,,,USA,Length of degree,Stipend,Free,,,
SUMMER UNDERGRADUATE RESEARCH FELLOWSHIP (SURF),Fellowship,Government,NIST,"Designed to inspire undergraduate students to pursue careers in STEM (science, technology, engineering, and mathematics) through a unique research experience that supports the NIST mission.","178 awards and 604 applicants in 2015, 29% acceptance rate",,Undergrad,Postsecondary,,,,11 weeks,,Free,,,
DOE Computational Science Graduate Fellowship,Fellowship,Government,DOE,"Established in 1991, the Department of Energy Computational Science Graduate Fellowship (DOE CSGF) provides outstanding benefits and opportunities to students pursuing doctoral degrees in fields that use high-performance computing to solve complex science and engineering problems. The program fosters a community of energetic and committed Ph.D. students, alumni, DOE laboratory staff and other scientists who want to have an impact on the nation while advancing their research. Fellows come from diverse scientific and engineering disciplines but share a common interest in using computing in their research.",2% acceptance rate,,Undergraduate Seniors and first year PhD students ,Postsecondary,,,USA,Summer,,Free,,,
Dr. Nancy Foster Scholarship Program,Scholarship,Government,NOAA,"The National Oceanic and Atmospheric Administration’s (NOAA) Dr. Nancy Foster Scholarship Program provides support for master’s and doctoral degrees in oceanography, marine biology, or maritime archaeology—this can include, but is not limited to, ocean and/or coastal: engineering, social science, marine education, marine stewardship, and resource management disciplines—and particularly encourages women and members of minority groups to apply. Scholarship selections are based on academic excellence, letters of recommendations, research and career goals and financial need.

",3 people accepted in 2020,"U.S. Citizen or permanent resident, Pursuing a graduate degree. 3.3 GPA minimum",Graduate students,Postsecondary,,Underrepresented,USA,,Degree support,Free,,,
Smart Scholarship,Scholarship,Government,DoD,"The SMART Program provides STEM students with the tools needed to pursue higher education and begin a career with the DoD. With a full scholarship, students pursuing science, technology, engineering and mathematics (STEM) degrees will be able to focus on complex research to further the DoD’s mission and create lasting impact. SMART is a one-for-one commitment; for every year of degree funding, the scholar commits to working for a year with the DoD as a civilian employee.  Summer internships prepare scholars for full-time employment and get them accustomed to working with the DoD.","323 Scholarships given in 2020, 13% acceptance rate","3.0 minimum GPA, pursuing a STEM degree, ",Undergraduate and Graduate Students,"Postsecondary, Professionals",,,USA,Academic year and summer, ,Free,,,
DOD NDSEG Fellowship Program,Fellowship,Government,DoD,"The DoD NDSEG Fellowship Program, established in 1989 by direction of Congress and sponsored by the Army, Navy, and Air Force, serves as a means of increasing the number of United States citizens trained in science and engineering disciplines of military importance. This program is designed to encourage Baccalaureate recipients to enter Graduate school and ultimately gain Doctorates which align to the DoD services Broad Agency Announcements (BAAs) in research and development.",5-10% acceptance rate?,"U.S. Citizen, 3 year minimum remaining in graduate program, ",Undergraduate Students,Postsecondary,,,USA,Varies,,Free,,,
DoD National Defense Science and Engineering Graduate Fellowship program,Fellowship,Government,DoD,"The National Defense Science and Engineering Graduate (NDSEG) Fellowship Program is a joint program of the United States Army, Navy and Air Force within the University Research Initiative (URI), designed to increase the number of U.S. citizens trained in disciplines of science and engineering important to defense goals. DoD awards approximately 100-150 new three-year graduate fellowships each year to individuals for study and research leading to doctoral degrees in, or closely related to, the disciplines of aeronautical and astronautical engineering; biosciences; chemical engineering; chemistry; cognitive, neural and behavioral sciences; electrical engineering; geosciences; civil engineering; computer and computational sciences; materials science and engineering; mathematics; mechanical engineering; naval architecture and ocean engineering; oceanography; and physics.","500 awards each year, overall 4,000 awards with 60,000 applicants, 7% acceptance rate","U.S. Citizen or National, ",Intending to pursue a PhD,Postsecondary,,,USA,36 months,Stipends and Full Tuition,Free,,,
Computing Innovation Fellows,Fellowship,Government,"NSF, CCC","In May, the Computing Research Association (CRA) and its Computing Community Consortium (CCC) launched the CIFellows 2020 program, with strong support from the National Science Foundation (NSF). The program aims to provide a career-enhancing bridge experience for recent and soon-to-be computing PhD graduates to combat hiring disruptions due to COVID. This effort was modeled after the CRA/CCC’s NSF-funded Computing Innovation Fellows Programs with cohorts starting 2009, 2010, and 2011, which funded 127 CIFellows following the 2008 recession.","59 accepted out of 550 applications, 11% acceptance rate",PhD in computer science or a closely related field,Post PhD,Professionals,,,USA,2 years,$17 Million Dollar program,Free,,,
