Scholarships & Fellowships,,,,,,,,,,,,,
,,,,,,,,,,,,,
Program,Organization Type,Type,Sponsor/ Partner Organizations,Objective,Pre-recs,Gender,Underrepresented,Target,Length,Amount,Cost,,
Machine Learning Scholarship Program for Microsoft Azure,Private,Scholarship,Microsoft,"The Introduction to machine learning on Azure with a Low-code Experience is intended for learners who have programming knowledge in any language, preferably python, and are comfortable writing scripts. Having a knowledge of basic statistics will also help to understand and deploy the Machine Learning models in this course.",,,,Anyone, ,,Free,,
CSTA Equity Fellowship,Nonprofit,Scholarship,"CSTA, Microsoft, Pluralsight One",Provide leadership development opportunities focused on addressing issues of equity in the computer science classrooms for all CSTA members,"CTSA member, Educator, ", ,,Educators,1 year,,Free,,
Louis Stokes Educational Scholarship Program,Government,Scholarship,DIA,"This highly competitive program targets high-achieving, committed secondary school seniors and college freshmen and sophomores interested in a career in public service. The program offers scholarship awardees tuition assistance to accredited colleges and universities, challenging summer work and a guaranteed position in their field of study upon graduation. Students will attend classes full-time during the academic year and work at DIA during the summer in positions related to their course of study. While in school, students must maintain an overall cumulative grade point average (GPA) of 3.0 on a 4.0 scale (or its equivalent) for each semester/quarter.","U.S. Citizen, Current enrollment in undergraduate or graduate program with a 3.0 college GPA, Financial hardship,  at least 60 university hours",,Underrepresented,High,Duration of Undergraduate degree,$18000 per year,Free,, 
Davidson Fellowship,Nonprofit,Scholarship,Davidson Institute ,"We award $50,000, $25,000 and $10,000 scholarships to gifted and high-achieving students, 18 years old or under, who have completed a significant piece of work. The 2021 application deadline has passed. The 2022 application will be available this fall.",,,,High,,$10000-$50000,Free,,
Amazon Future Engineer Scholarship program,Private,Scholarship,Amazon, Support underserved students in their computer science education ,"Completion of at least one computer science course in High school, high school senior, plan on pursuing a bachelors degree", ,Underrepresented,High,3 years,"$40,000.00",Free,,
Simplr AI and Technology Scholarship,Private,Scholarship,Simplr,"Simplr is offering a $7,500 scholarship to a passionate and deserving student who submits a winning essay in our specialized scholarship contest encompassing artificial intelligence (AI), the Internet of Things (IoT), Blockchain technology and Intellectual Property (IP) law. Applications for the 2020-2021 academic year are now being accepted. Apply today!",Enrolled in a degree program, ,,"High, Postsecondary",1 year,"$7,500",Free,,
Stokes Educational Program,Government,Scholarship,NSA,"The Stokes Educational Scholarship Program, formerly known as the Undergraduate Training Program, facilitates the recruitment of individuals, particularly minority high school students, who have demonstrated skills critical to NSA. Stokes is open to high school seniors planning on majoring in computer science or computer/electrical engineering.","U.S. Citizen,  majoring in computer science or computer/electrical engineering",,Underrepresented,Postsecondary,Duration of Undergraduate degree,$30000 per year,Free,, 
Smart Scholarship,Government,Scholarship,DoD,"The SMART Program provides STEM students with the tools needed to pursue higher education and begin a career with the DoD. With a full scholarship, students pursuing science, technology, engineering and mathematics (STEM) degrees will be able to focus on complex research to further the DoD’s mission and create lasting impact. SMART is a one-for-one commitment; for every year of degree funding, the scholar commits to working for a year with the DoD as a civilian employee.  Summer internships prepare scholars for full-time employment and get them accustomed to working with the DoD.","3.0 GPA minimum,", ,,Postsecondary,Duration of Undergraduate/Graduate degree,Full Tuition and expenses,Free,,
Dr. Nancy Foster Scholarship Program,Government,Scholarship,NOAA,"The National Oceanic and Atmospheric Administration’s (NOAA) Dr. Nancy Foster Scholarship Program provides support for master’s and doctoral degrees in oceanography, marine biology, or maritime archaeology—this can include, but is not limited to, ocean and/or coastal: engineering, social science, marine education, marine stewardship, and resource management disciplines—and particularly encourages women and members of minority groups to apply. Scholarship selections are based on academic excellence, letters of recommendations, research and career goals and financial need.

","U.S. Citizen or permanent resident, Pursuing a graduate degree. 3.3 GPA minimum",,,Postsecondary,,Degree support,Free,,
EPP/MSI Undergraduate Scholarship Program,Government,Scholarship,NOAA,"The EPP/MSI Undergraduate Scholarship provides funds for two years of undergraduate study to rising junior undergraduate students majoring in Science, Technology, Engineering and Mathematics (STEM) fields that directly support NOAA's mission. Participants conduct research at a NOAA facility during two paid summer internships. Since 2001, 219 students have completed the program and over 75% go on to graduate school.","Pursuing a degree at a minority serving institution, U.S. Citizen or U.S. National, 3.2 GPA minimum, ",Sophomore Undergraduates,,Postsecondary,Summers,"up to $45,000 in support",Free,,
