Summer Camps,Legend:,Private,Red Highlight = Cancelled/ not currently active,* = COVID adjustment ,,,,,,,,
Computer Science Summer Programs by State (source),,,,,,,,,,,,
,,,,,,,,,,,,
Program,Type,Organization Type,Organizations (for brief),Detailed Location,Covid Adjustment,Location,Level ,Target,Number of Students Participating,Duration,Cost,
Juneau Yacht Club,Summer Camp,Nonprofit,Nonprofit,Juneau,,AK,Grades 2-4,Elementary,,5 days,Pay as you can,
Pacific Northern University: Lego Robotics,Summer Camp,University,University,Pacific Northern University,,AK,Grades 2-3,Elementary,,,$310,
Pacific Northern University: Mindstorm Robotics,Summer Camp,University,University,Pacific Northern University,,AK,Grades 3-6,"Elementary, Middle",,,$310,
Pacific Northern University: Techgirls Robotics,Summer Camp,University,University,Pacific Northern University,,AK,Grades 3-5,Elementary,,,$310,
UAA Stem Engineering Academy,Summer Camp,University,University,University of Alaska Anchorage,,AK,Grades 3-12,"Elementary, Middle, High",,1 week,$250,
Advanced EV3 Camp,Summer Camp,Nonprofit,Nonprofit,Virtual,,"AK, Virtual",Grades 6-8,Middle,,2 weeks,$125,
ASE Stem Camp Middle/High: Bessemesr,Summer Camp,Nonprofit,Nonprofit,Bessemer ,,AL,Age 10-13,"Elementary, Middle",,1-2 months,$400-$750,
ASE Stem Camp Elementary: Bessemer,Summer Camp,Nonprofit,Nonprofit,Bessemer ,,AL,Age 5-9,Elementary,,1-2 months,$50,
ASE Stem Camp Middle/High: Birmingham,Summer Camp,Nonprofit,Nonprofit,Birmingham,,AL,Age 10-13,"Elementary, Middle",,1-2 months,$400-$750,
ASE Stem Camp Elementary: Birmingham,Summer Camp,Nonprofit,Nonprofit,Birmingham,,AL,Age 5-9,Elementary,,1-2 months,$50,
Alabama Computer Science Camp,Summer Camp,University,University,University of Alabama,,AL,Grade 10-12,High,,1 Week,$400-$600,
UNA STEMP Camp,Summer Camp,University,University,University of North Alabama,,AL,Middle and High School,"Middle, High",,3 days,$225,
Space Camp Robotics,Summer Camp,Private,Private,US Space and Rocket Center,,AL,Grades 4-9,"Elementary, Middle, High",,1 week,"$1,099",
CUSI Coding Camp,Summer Camp,University,University,Arkansas State University,,AR,Grades 9-11,High,,5 days,$175,
Arizona State University - AI4ALL,Summer Camp,Private,AI4All,*Phoenix,Virtual,AZ,High School,High,,3 weeks,,
University of Arizona Summer Engineering Academy,Summer Camp,University,University,*University of Arizona,Virtual,AZ,Grade 10-12,High,,1 Week,Not Specified,
Codakid,Summer Camp,Private,Private Online,Virtual,,"AZ, Virtual",Ages 6-15,"Elementary, Middle, High",,,,
UC Berkeley- AI4ALL,Summer Camp,Private,AI4All,*Berkeley,Virtual,CA,Grade 9-11,High,30-50 (est.),5 days,,
UCLA Game Lab,Summer Camp,University,University,*Los Angeles,Virtual,CA,High School,High,,2 weeks,$2189-$2731,
UCLA - Application of Nanoscience summer institute,Summer Camp,University,University,*Los Angeles,Virtual,CA,High School,High,,2 weeks,$2106-$2486,
UCLA - Design Media Arts (DMA),Summer Camp,University,University,*Los Angeles,Virtual,CA,High School,High,,2 weeks,$2069-$2611,
UC San Francisco - AI4ALL,Summer Camp,Private,AI4All,*San Francisco,Virtual,CA,Grade 8-11,"Middle, High",,3 weeks,Free,
Techlab,Summer Camp,Private,Private Online,*San Francisco,Virtual,CA,Grade 5-12,"Elementary, Middle, High",,,,
Stanford - AI4ALL,Summer Camp,University,University,*Stanford ,Virtual,CA,Grade 9,High,,3 weeks,"$2,000",
UC COSMOS,Summer Camp,University,University,*UC Campuses,Virtual,CA,Grades 8-12,"Middle, High",,4 Weeks,"$4,500",
Techno-Tainment Camp,Summer Camp,Private,Private,10 locations around CA,,CA,Grades K-8,"Elementary, Middle",,5 Days,$399,
Plant Bravo: Java 2-Week Intensive,Summer Camp,Private,Private,CA,,CA,Grades 6-9,"Middle, High",,2 weeks,$923,
Plant Bravo: Coding 101 with Python,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Game Design with Python,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Intro to Game Design,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: JavaScript Game Coding,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Minecracy Modding,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Minecraft Mod Makers,Summer Camp,Private,Private,CA,,CA,Grades 2-3,Elementary,,5 days,$549,
Plant Bravo: Roblox Game Design,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Unity 3D Game Design,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Plant Bravo: Virtual Robotics,Summer Camp,Private,Private,CA,,CA,Grades 4-9,"Elementary, Middle, High",,5 days,$549,
Google CSSI Extension: California State University,Summer Camp,Private,BigTech,California State,Virtual,CA,Graduating Seniors,High,,4 Weeks,Free,
Beall Center - Coding + Design,Summer Camp,Private,Private,Irvine,Pause,CA,Age 8-12,"Elementary, Middle",,5 days,$499,
Google CSSI Extension Loyla Marymount University,Summer Camp,Private,BigTech,Loyla Marymount University,Virtual,CA,Graduating Seniors,High,,4 Weeks,Free,
SciTech Summer Camp,Summer Camp,Nonprofit,Nonprofit,Palm Springs,,CA,Grades 1-5,Elementary,,5 days,$150,
Blue Stamp Engineering: Palo Alto,Summer Camp,Private,Private,Palo Alto,,CA,High School,High,120-150 (est.),2-6 weeks,$1950-$4200,
AI Scholars (Inspirit AI): Palo Alto,Summer Camp,Private,Private,Palo Alto,,CA,High School,High,,10 days,"$1,500",
Blue Stamp Engineering: San Francisco,Summer Camp,Private,Private,San Francisco,,CA,High School,High,120-150 (est.),2-6 weeks,$1850 - $3900,
Ai Scholars (Inspirit AI) San Francisco,Summer Camp,Private,Private,San Francisco,,CA,High School,High,,10 days,"$1,500",
Google CSSI Extension San Jose State University,Summer Camp,Private,BigTech,San Jose State University,Virtual,CA,Graduating Seniors,High,,4 Weeks,Free,
Santa Clara U Summer Institute for Humanitarian Computing  (not currently active),Summer Camp,University,University,Santa Clara,,CA,,,,,,
Emotion AI Camp,Summer Camp,University,University,Stanford,,CA,Ages 13-18,"Middle, High",,3 Weeks,$975-$2249,
Stanford - Girls Teaching Girls How to Code - Code Camp,Summer Camp,University,University,Stanford ,,CA,High School,High,200,2 weeks,Free,
Plant Bravo: Java 2-Week Intensive Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 6-9,"Middle, High",,2 weeks,$773,
Plant Bravo: Coding 101 with Python Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Game Design with Python Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Intro to Game Design Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: JavaScript Game Coding Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Minecraft Mod Makers Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 2-3,Elementary,,5 days,$399,
Plant Bravo: Minecraft Modding Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Roblox Game Design Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Unity 3D Game Design Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
Plant Bravo: Virtual Robotics Virtual,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Grades 4-9,"Elementary, Middle, High",,5 days,$399,
TechKnowHow,Summer Camp,Private,Private,Virtual,,"CA, Virtual",Age 5-12,"Elementary, Middle",,1 week,$200,
AI4ESS Summer School,Summer Camp,University,University,*Boulder,Virtual,CO,Not Specified,,,5 Days,Free,
Engineering for Kids:  Jr Robotics ,Summer Camp,Private,Private,CO,,CO,Ages 6-8,Elementary,,5 days,$479,
Engineering for Kids: Build you own Minecraft,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Electronic Game Design,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Minecraft EDU,Summer Camp,Private,Private,CO,,CO,Ages 6-8,Elementary,,5 days,$479,
Engineering for Kids: MinecraftEDU,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Mobile App Coding,Summer Camp,Private,Private,CO,,CO,Ages 6-8,Elementary,,5 days,$479,
Engineering for Kids: Python Gym,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Python Gym,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Robotics,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Scratch Coding,Summer Camp,Private,Private,CO,,CO,Ages 6-8,Elementary,,5 days,$479,
Engineering for Kids: Sphero Robotics,Summer Camp,Private,Private,CO,,CO,Ages 6-8,Elementary,,5 days,$479,
Engineering for Kids: Vex Robotics,Summer Camp,Private,Private,CO,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Engineering for Kids: Mobile App Coding,Summer Camp,Private,Private,Colorado,,CO,Ages 9-12,"Elementary, Middle",,5 days,$479,
Young Bot Builders: Robotics,Summer Camp,Private,Private,Colorado Springs,,CO,Ages 6.5-9,Elementary,,4 days,$140,
Colorado Code Club,Summer Camp,Private,Private,Highlands Ranch,,CO,Grades 2-6,"Elementary, Middle",,5 Days,$275,
CU Science Discovery: Applied Programming with Micro:bit,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 9-12,"Elementary, Middle, High",,5 days,$360,
CU Science Discovery: Arduino: An Introduction,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 9-12,"Elementary, Middle, High",,5 days,$360,
CU Science Discovery: Virtual Code with JavaScript,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 6-8,"Middle, High",,5 days,$199,
CU Science Discovery: Virtual Game Design and Science Simulations,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 6-8,"Middle, High",,5 days,$199,
CU Science Discovery: Virtual Kids Coding ,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 2-4,"Middle, High",,5 days,$169,
CU Science Discovery: Virtual Kids Coding ,Summer Camp,University,University,University of Colorado Boulder,,CO,Grades 6-8,"Middle, High",,5 days,$169,
Emagination Computer Camps: Connecticut,Summer Camp,Private,Private Online,*Fairfield University,Virtual,CT,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$895-$3095,
Introduction to Data Science Academy,Summer Camp,University,University,*Georgetown University,Virtual,DC,High School,High,,1 Week,"$1,895",
Booleangirl,Summer Camp,Nonprofit,Nonprofit,DC,,DC,Grades 3-8,"Elementary, Middle",,5 days,$395,
Georgetown - Introduction to Data Science Academy,Summer Camp,University,University,Georgetown,,DC,High School,High,,1 week,"$1,895",
Edge Pre-College Program,Summer Camp,University,University,*University of Delaware,Virtual,DE,High School,High,,1 Month,"$4,600",
Delaware STEAM academy,Summer Camp,Nonprofit,K-12,The Independence School of DE,,DE,Grades 2-12,"Elementary, Middle, High",12 Students per class,5-7 Weeks,$275-$585,
University of Delaware Robotics Camp,Summer Camp,University,University,University of Delaware,,DE,Grades 1-4,Elementary,,5 days,$375,
UCF Competative Programming Summer Institute,Summer Camp,University,University,*University of Central Florida,Virtual,FL,High School,High,35 students,2 weeks,"$1,250",
UCF Computer Science Summer Institute,Summer Camp,University,University,*University of Central Florida,Virtual,FL,Grades 8-11,"Middle, High",35 students,3 weeks,"$1,000",
Camp Connect,Summer Camp,University,University,*University of Central Florida,Virtual,FL,Grades 8-11,"Middle, High",,1 Week,$75,
Drobots Company: Drone Camp,Summer Camp,Private,Private,"FL,  GA, MD, MA, NJ, OH, PA, TX, VA",,"FL,  GA, MD, MA, NJ, OH, PA, TX, VA",Grades 1-12,"Elementary, Middle, High",,Varies,Varies,
Drobots Company: Game Development,Summer Camp,Private,Private,"FL,  GA, MD, MA, OH, PA, TX, VA", ,"FL,  GA, MD, MA, OH, PA, TX, VA",Grades 3-8,"Elementary, Middle",,Varies,Varies,
"Drobots Company: Programming, Design, Animation",Summer Camp,Private,Private,"FL,  GA, MD, MA, OH, PA, TX, VA", ,"FL,  GA, MD, MA, OH, PA, TX, VA",Grades 3-8,"Elementary, Middle",,Varies,Varies,
"Drobots Company: AI, AR, VR, MR",Summer Camp,Private,Private,"FL,  GA, MD, MA, OH, PA, TX, VA", ,"FL,  GA, MD, MA, OH, PN, TX, VA",Grades 3-8,"Elementary, Middle",,Varies,Varies,
Stetson - Computer Science: Cybersecurity,Summer Camp,University,University,Virtual,,"FL, Virtual",Grade 11-12,High,,5 days,$295,
Georgia Tech- AI4All,Summer Camp,Private,AI4All,*Georgia Tech,Virtual,GA,Grades 10-11,High,,2 weeks,$500,
Emagination Computer Camps: Georgia,Summer Camp,Private,Private Online,*Mercer University - Atlanta Campus,Virtual,GA,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$795-$2695,
Big Data Academy,Summer Camp,University,University,Emory,,GA,Middle School Girls,Middle,About 15-30 students,1-2 Weeks,Free,
Georgia Tech Intro to Python,Summer Camp,University,University,Georgia Tech,,GA,Grades 9-12,High,,2 weeks,$800,
 Georgia Tech Game Design and Development,Summer Camp,University,University,Georgia Tech,,GA,Grades 3-5,Elementary,,5 days,$500,
Georgia Tech TEC Camp (on pause),Summer Camp,University,University,Georgia Tech,,GA,Grade 7-8 girls,Middle,40,5 days,$350,
Duke's Artificial Intelligence @Georgia Tech (on Pause),Summer Camp,University,University,Georgia Tech,,GA,Grade 8-10,"Middle, High",,3 Weeks,,
University of Georgia: Introductory Robotics,Summer Camp,University,University,University of Georgia,,GA,Ages 11-14,"Middle, High",,5 days,$400,
Magma Robotics Camp,Summer Camp,Private,Private,Hawaii,,HI,Grades 1-6,"Elementary, Middle",,,,
Data Science and AI Summer Camp,Summer Camp,University,University,Grand View University,,IA,Ages 15-18,High,,1 week,,
First Step Robotics Camp,Summer Camp,Private,Private Online,Virtual,,"ID, Virtual",Grades 1-6,"Elementary, Middle",,5 days,,
Wolfram High School Summer Camp,Summer Camp,University,University,*Illinois,Virtual,IL,High School,High,45,2 weeks,,
Emagination Computer Camps: Illinois,Summer Camp,Private,Private Online,*Lake Forest College,Virtual,IL,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$895-$3095,
Cracking the Code: Demystify Computer Science,Summer Camp,University,University,*University of Illinois,Virtual,IL,Grades 10-12,High,,5 days,$380,
AI Scholars (Inspirit AI): Chicago,Summer Camp,Private,Private,Chicago,,IL,High School,High,,10 days,"$1,500",
Illinois Tech’s Computational Science course,Summer Camp,University,University,Illinois Tech,,Il,Grade 10-12,High,,2 weeks,$1395-$2395,
Google CSSI Extension Northeastern Illinois University,Summer Camp,Private,BigTech,Northeastern Illinois University,Virtual,IL,Graduating Seniors,High,,4 Weeks,Free,
AI and Bot Development,Summer Camp,University,University,Indiana University,,IN,High School,High,,5 days,$229,
Purdue AI/Machine Learning Camp,Summer Camp,University,University,Purdue University,,IN,High School,High,,2 weeks,$180,
ND CORE Camp,Summer Camp,University,University,University of Notre Dame,,IN,Middle School,Middle,200,2 weeks,,
Camp Invention,Summer Camp,University,University,*University of Missouri Kansas City,Semi-Virtual,KS,Grades K-6,"Elementary, Middle",,5 days,$160,
University of Kentucky STEM Experiences,Summer Camp,University,University,University of Kentucky,,KY,Grades 5-8,"Elementary, Middle",,5 days,$275,
PyFUN Programming Camp LSU,Summer Camp,University,University,*Louisiana State University,Cancelled for 2020,LA,Grades 6-9,"Middle, High",,5 days,$155,
Tulane Science Scholars Program,Summer Camp,University,University,Tulane University,,LA,Middle and High School Students,"Middle, High",,,Request Info,
GNO Hands-On STEM Camp,Summer Camp,Nonprofit,Nonprofit,University of New Orleans,,LA,Grades 2-5,Elementary,,5 days,$350,
Lion's CyberCamp,Summer Camp,University,University,Virtual,,"LA, Virtual",Grades 8-12,"Middle, High",100 students per session (2 sessions),4 days,Free,
Emagination Computer Camps: Massachusetts,Summer Camp,Private,Private Online,*Bentley University,Virtual,MA,Age 8-17,"Elementary, Middle, High",,1-2 weeks,$895-$3095,
Boston Leadership Institute - BIG DATA,Summer Camp,Private,Private,*Boston,Virtual,MA,,,,1 week,"$2,200",
Boston University - AI4ALL,Summer Camp,Private,AI4All,*Boston,Virtual,MA,Grade 10-11 girls,High,,3 weeks,$50,
MIT Beaver Works Summer Institute,Summer Camp,University,University,*MIT,Virtual,MA,High School,High,,4 weeks,Free,
MIT Women's Technology Program,Summer Camp,University,University,*MIT,Virtual,MA,High School,High,,4 weeks,$3500 (virtual free),
AI Scholars (Inspirit AI): Boston,Summer Camp,Private,Private,Boston,,MA,High School,High,,10 days,"$1,500",
MIT Research Science Institute,Summer Camp,University,University,MIT,,MA,High School,High,80,6 weeks,Free,
"Humanities in a Digital World: Technology, Ethics and Justice",Summer Camp,University,University,Northeastern University,,MA,High School,High,about 15-25 students per program,5 days,"$1,995",
Bricks 2 Kids,Summer Camp,University,University,*Carnagie Mellon University,Virtual,MD,Ages 8-14,"Elementary, Middle, High",,,,
CompSciConnect,Summer Camp,University,University,*University of Maryland,Virtual,MD,Grades 6-8,Middle,about 40-50 people per age group,2 weeks,$150,
Introduction to Computing 101,Summer Camp,University,University,*University of Maryland,Virtual,MD,High School,High,,5 days,$150,
University of Maryland - AI4ALL,Summer Camp,Private,AI4All,*University of Maryland,Virtual,MD,Grade 10-12,High,,3 Weeks,,
Google CSSI Extension Make School,Summer Camp,Private,BigTech,Make School,Virtual,MD,Graduating Seniors,High,,4 Weeks,Free,
UMD CompSciConnect,Summer Camp,University,University,University of Maryland,,MD,Grades 6 - 8 females,Middle,,2 weeks,$300,
Maine Robotics: Build Your Own Computer,Summer Camp,University,University,University of Southern Maine,,ME,Ages 12-16,"Middle, High",,1 week,$700-$750,
Maine Robotics: Programming Minecraft,Summer Camp,University,University,University of Southern Maine,,ME,Ages 10-14,"Elementary, Middle",,1 week,$345,
Maine Robotics: LEGO Robotics,Summer Camp,University,University,University of Southern Maine,,ME,Ages 9-13,"Elementary, Middle",,1 week,$265,
University of Michigan - AI4ALL,Summer Camp,Private,AI4All,*University of Michigan,Virtual,MI,Grade 9-10,High,,2 weeks,Free,
Camp Infinity,Summer Camp,Nonprofit,Nonprofit,"Howell, MI",,MI,Grades 5-8 girls,Elementary,,5 days,$75,
AI and Autonomous Vehicles Day Camp,Summer Camp,Nonprofit,K-12,"Livingston, MI",,MI,High School,High,,4 days,,
Summer Computing Academy for female students,Summer Camp,University,University,*University of Minnesota,Virtual,MN,Middle and High school female students,"Middle, High", ,1-2 weeks,$60-$100,
<run>:\the\world Machine Learning Virtual Summer Camp,Summer Camp,University,University,*University of Minnesota,,MN,Grades 11-12,High,,5 days,$75,
Tech Academy of Minnesota: Minnesota,Summer Camp,Private,Private,51+ locations,,MN,Ages 4-15,"Elementary, Middle, High",over 300 camps,,,
University of Montana Tech Track Camp,Summer Camp,University,University,University of Montana,,MT,High School,High,45,3 Days,,
NCSSM Summer Ventures: Appalachian State,Summer Camp,Nonprofit,Nonprofit,North Carolina School of Science and Mathematics,,NC,Grades 10-11,High,,4 weeks,Free,
NCSSM Summer Ventures: East Carolina University,Summer Camp,Nonprofit,Nonprofit,North Carolina School of Science and Mathematics,,NC,Grades 10-11,High,,4 weeks,Free,
NCSSM Summer Ventures: UNC Charlotte,Summer Camp,Nonprofit,Nonprofit,North Carolina School of Science and Mathematics,,NC,Grades 10-11,High,,4 weeks,Free,
NCSSM Summer Ventures: UNC Wilmington,Summer Camp,Nonprofit,Nonprofit,North Carolina School of Science and Mathematics,,NC,Grades 10-11,High,,4 weeks,Free,
MSCU - There Must be an App for that! ,Summer Camp,University,University,North Carolina State University,,NC,Grades 11-12,High,,1 week,$925,
NC-MSEN Summer Scholars Program,Summer Camp,University,University,North Carolina State University,,NC,Grades 6-12,"Middle, High",,2 weeks,,
IT High School Internship Program,Summer Camp,University,University,"Omaha, NE",,NE,High School,High,30,8 weeks,Free,
The Jeffrey S. Raikes School of Computer Science and Management Summer Camp,Summer Camp,University,University,University of Nebraska,,NE,High School,High,,2 weeks,"$1,200",
Minecraft Game Design Master,Summer Camp,Private,Private,Concord,,NH,,,,1 week,$150,
Princeton - AI4ALL,Summer Camp,Private,AI4All,*Princeton,,NJ,Grade 11,High,,3 weeks,"$6,000",
EPIC - Elementary Programming,Summer Camp,University,University,*Princeton,,NJ,Ages 7-15,"Elementary, Middle, High",,5 days,,
Fairleigh Dickinson University AI Camp,Summer Camp,University,University,Fairleigh Dickinson University,,NJ,Grades 10-12,High,,2-4 weeks,$775 per course,
New Jersey Scholars Program,Summer Camp,Nonprofit,Nonprofit,New Jersey,,NJ,Grade 12,,,5 weeks,Free,
Introdution to Robotics with VEX IQ,Summer Camp,Private,Private,New Jersey,,NJ,Grades 4-8,"Elementary, Middle",,2 weeks,$420-$800,
New Jersey Governor's School of Engineering and Technology,Summer Camp,University,University,Rutgers University,,NJ,Grade 11,High,62-90,4 Weeks,Free,
Young Women in Computing,Summer Camp,University,University,Virtual,,"NM,  Virtual",Middle and High School Students,"Middle, High",60,1-2 weeks,Free,
CS Adventures Virtual Program,Summer Camp,University,University,Virtual,,"NM, Virtual",High School,High,30,12 days,Free,
Columbia University - AI4ALL,Summer Camp,Private,AI4All,*Columbia,Virtual,NY,Grade 10-11,High,,3 weeks,Free,
