Competition Title,Url,Location,Grade,Description,Type
Website,http://www.destinationimagination.org/,national,elementary,Destination ImagiNation,engineering
Website,http://www.exploravision.org/2005/home.htm,national,elementary,ExploraVision,engineering
Website,http://www.firstlegoleague.org/,national,elementary,First Lego League -- Ages 9-14,engineering
Website,http://istf.ucf.edu/,national,elementary,Internet Science and Technology Fair (ISTF),engineering
Website,http://www.odysseyofthemind.com/,national,elementary,Odyssey of the Mind,engineering
Website,http://www.techxplore.org/,national,elementary,TechXplore --,engineering
Website,http://www.toychallenge.com/,national,elementary,Toy Challenge is a national toy design contest for grades 5-8.,engineering
Website,http://www.bestinc.org/MVC/,national,middle school,Best Robotics Inc.,engineering
Website,http://www.botball.org/,national,middle school,Botball,engineering
Website,http://www.christophercolumbusawards.com/,national,middle school,Christoper Columbus Awards,engineering
Website,http://www.destinationimagination.org/,national,middle school,Destination ImagiNation,engineering
Website,http://www.ecybermission.com/,national,middle school,eCYBERMISSION -- grades 6-9,engineering
Website,http://www.exploravision.org/2005/home.htm,national,middle school,ExploraVision,engineering
Website,http://www.firstlegoleague.org/,national,middle school,First Lego League -- Ages 9-14,engineering
Website,http://www.futurecity.org/,national,middle school,Future City Competition,engineering
Website,http://istf.ucf.edu/,national,middle school,Internet Science and Technology Fair (ISTF),engineering
Website,http://www.nationalroboticschallenge.org/,national,middle school,National Robotics Challenge,engineering
Website,http://www.sciencedecathlon.com/,national,middle school,National Science Decathlon (NSD),engineering
Website,http://www.odysseyofthemind.com/,national,middle school,Odyssey of the Mind,engineering
Website,http://www.rocketcontest.org/,national,middle school,TCAM America Rocketry Challenge,engineering
Website,http://www.toychallenge.com/,national,middle school,Toy Challenge is a national toy design contest for grades 5-8. ,engineering
Website,http://www.techxplore.org/,national,middle school,TechXplore --,engineering
Website,http://bridgecontest.usma.edu/,national,middle school,West Point Bridge Design Contest,engineering
Website,http://www.battlebotsiq.com/,national,high school,BattleBots IQ,engineering
Website,http://www.bestinc.org/MVC/,national,high school,Best Robotics Inc.,engineering
Website,http://www.bu.edu/eng/design/,national,high school,Boston University Design Competition -- grades 9-11,engineering
Website,http://www.botball.org/,national,high school,Botball,engineering
Website,http://www.destinationimagination.org/,national,high school,Destination ImagiNation,engineering
Website,http://www.ecybermission.com/,national,high school,eCYBERMISSION -- grades 6-9,engineering
Website,http://www.exploravision.org/2005/home.htm,national,high school,ExploraVision,engineering
Website,http://www.usfirst.org/robotics/,national,high school,FIRST Robotics Competition,engineering
Website,http://www.usfirst.org/vex/,national,high school,FIRST Vex Challenge mid-level robotics competition,engineering
Website,http://moonbuggy.msfc.nasa.gov/,national,high school,Great Moonbuggy Race,engineering
Website,http://www.fair-pr.com/hydrogenambassadors/,national,high school,Hydrogen Ambassadors International Competition,engineering
Website,http://www.iit.edu/~hsbridge/database/search.cgi/:/public/index,national,high school,International Bridge Building Contest,engineering
Website,http://www.marinetech.org/rov_competition/index.php,national,high school,International ROV Competition,engineering
Website,http://istf.ucf.edu/,national,high school,Internet Science and Technology Fair (ISTF),engineering
JETS,https://artofproblemsolving.com/wiki/index.php?title=JETS&action=edit&redlink=1,national,high school,National Engineering Design Challenge (NEDC) from JETS --Website,engineering
Website,http://www.nationalroboticschallenge.org/,national,high school,National Robotics Challenge,engineering
Website,http://www.sciencedecathlon.com/,national,high school,National Science Decathlon (NSD),engineering
Website,http://www.odysseyofthemind.com/,national,high school,Odyssey of the Mind,engineering
Website,http://www.robocup.org/,national,high school,RoboCup,engineering
Website,http://www.rocketcontest.org/,national,high school,TCAM America Rocketry Challenge,engineering
JETS,https://artofproblemsolving.com/wiki/index.php?title=JETS&action=edit&redlink=1,national,high school,TEAMS -- A JETS competition. ,engineering
Website,http://www.techxplore.org/,national,high school,TechXplore --,engineering
Website,http://bridgecontest.usma.edu/,national,high school,West Point Bridge Design Contest,engineering
Website,http://www.battlebotsiq.com/,national,college,BattleBots IQ,engineering
Website,http://www.invent.org/collegiate/,national,college,Collegiate Inventors Competition,engineering
Website,http://www.marinetech.org/rov_competition/index.php,national,college,International ROV Competition,engineering
Website,http://www.nationalroboticschallenge.org/,national,college,National Robotics Challenge,engineering
Website,http://www.odysseyofthemind.com/,national,college,Odyssey of the Mind,engineering
Website,http://www.robocup.org/,national,college,RoboCup,engineering
Website,http://nasc2005.americansolarchallenge.org/index.html,national,college,Solar Challenge,engineering
Website,http://www.ashrae.org/template/AssetDetail/assetid/43949,national,college,Student Design Project Competition,engineering
website,http://www.acsl.org/,national,high school,Amercian Computer Science League website,informatics
website,http://cs.furman.edu/activities/hscontest/,national,high school,Bi-Lo High School Programming Contest website,informatics
website,http://www.humboldt.edu/~csc/drupal/?q=taxonomy/term/6/all,national,high school,Humboldt State University High School Programming Competition website,informatics
website,http://www.eas.muohio.edu/hcontest/,national,high school,Miami University High School Programming Contest website,informatics
website,http://nug.njit.edu/progcontest/index04.html,national,high school,New Jersey Institute of Technology High School Programming Contest website,informatics
website,http://www.quinnipiac.edu/x18121.xml,national,high school,Quinnipiac University High School Programming Competition website,informatics
website,http://cs.sru.edu/~contest/,national,high school,Slippery Rock High School Computer Programming Competition website,informatics
website,http://cs.stmarys.ca/hspc/,national,high school,St Mary’s University High School Programming Competition website,informatics
website,http://www.cs.trinity.edu/ProgComp/,national,high school,Trinity University Regional high School Programming Competition website,informatics
website,http://www.cis.uab.edu/programs/hspc/,national,high school,University of Alabama-Birmingham HSPC website,informatics
website,http://www.cs.umd.edu/Outreach/hsContest.shtml,national,high school,University of Maryland High School Programming Contest website,informatics
website,http://www.cs.scranton.edu/~mccloske/hs_prog_contest/index.html,national,high school,University of Scranton High School Programming Contest website,informatics
website,http://www.hspc.org.vt.edu/,national,high school,Virginia Tech High School Programming Contest website,informatics
website,http://www.cs.wcu.edu/cscontest/,national,high school,Western Carolina University website,informatics
website,http://www.sao.org/sao_foundation/programming_contest_and_spring_conference.php,national,high school,Willamette-SAO Foundation Programming Contest website,informatics
USACO,https://artofproblemsolving.com/wiki/index.php/USACO,national,olympiad,The United States of America Computing Olympiad USACO is an extremely challenging competition that helps select U.S. team members to compete at the International Informatics Olympiad (IOI).  Homepage,informatics
Website,http://www.destinationimagination.org/,national,elementary,Destination ImagiNation,techonology
Website,http://www.exploravision.org/2005/home.htm,national,elementary,ExploraVision,techonology
Website,http://www.firstlegoleague.org/,national,elementary,First Lego League -- Ages 9-14.,techonology
Website,http://istf.ucf.edu/,national,elementary,Internet Science and Technology Fair (ISTF),techonology
Website,http://www.ncsu.edu/mmania/,national,elementary,Multimedia Mania,techonology
Website,http://www.odysseyofthemind.com/,national,elementary,Odyssey of the Mind,techonology
Website,http://www.techxplore.org/,national,elementary,TechXplore --,techonology
Website,http://www.toychallenge.com/,national,elementary,Toy Challenge is a national toy design contest for grades 5-8.,techonology
Website,http://www.bestinc.org/MVC/,national,middle school,Best Robotics Inc.,techonology
Website,http://www.botball.org/,national,middle school,Botball,techonology
Website,http://www.christophercolumbusawards.com/,national,middle school,Christoper Columbus Awards,techonology
Website,http://www.destinationimagination.org/,national,middle school,Destination ImagiNation,techonology
Website,http://www.ecybermission.com/,national,middle school,eCYBERMISSION -- grades 6-9.,techonology
Website,http://www.exploravision.org/2005/home.htm,national,middle school,ExploraVision,techonology
Website,http://www.firstlegoleague.org/,national,middle school,First Lego League -- Ages 9-14.,techonology
Website,http://www.futurecity.org/,national,middle school,Future City Competition,techonology
Website,http://istf.ucf.edu/,national,middle school,Internet Science and Technology Fair (ISTF),techonology
Website,http://www.ncsu.edu/mmania/,national,middle school,Multimedia Mania,techonology
Website,http://www.nationalroboticschallenge.org/,national,middle school,National Robotics Challenge,techonology
Website,http://www.sciencedecathlon.com/,national,middle school,National Science Decathlon (NSD),techonology
