Competition Title,Url,Location,Grade,Description,Type
Absolute Academy Summer Camps,https://www.absoluteacademy.net/,national,elementary,"Absolute Academy Summer Camps in Fairfax County, VA,",Computer
Cybercamps,http://www.cybercamps.com/,national,elementary,Cybercamps,Computer
CyberMath Academy,https://cybermath.org/,national,elementary,"CyberMath Academy (Boston-Harvard Univ., Silicon Valley-Stanford Univ.)",Computer
Digital Media Adventures,http://www.digitalmediaadventures.com/,national,elementary,Digital Media Adventures,Computer
Emagination,http://www.computercamps.com,national,elementary,Emagination,Computer
iD Tech Camps,http://www.internaldrive.com/,national,elementary,iD Tech Camps,Computer
National Computer Camp,http://www.nccamp.com/,national,elementary,National Computer Camp,Computer
SummerTech,http://www.summertech.net/,national,elementary,SummerTech,Computer
Absolute Academy Summer Camps,https://www.absoluteacademy.net/,national,middle school,"Absolute Academy Summer Camps in Fairfax County, VA,",Computer
"Center for Mathematics, Science, and Technology",http://www.mathismylife.org/index.html,national,middle school,"Center for Mathematics, Science, and Technology (CMST)",Computer
Cybercamps,http://www.cybercamps.com/,national,middle school,Cybercamps,Computer
CyberMath Academy,https://cybermath.org/,national,middle school,"CyberMath Academy (Boston-Harvard Univ., Silicon Valley-Stanford Univ.)",Computer
Digital Media Academy,http://www.digitalmediaacademy.org/index.html?daud=teen,national,middle school,Digital Media Academy,Computer
Digital Media Adventures,http://www.digitalmediaadventures.com/,national,middle school,Digital Media Adventures,Computer
Educational Studies Program,https://artofproblemsolving.com/wiki/index.php/MIT,national,middle school,Educational Studies Program (ESP) at MIT,Computer
Education Unlimited,http://www.educationunlimited.com/tomc/computers/index.html,national,middle school,Education Unlimited,Computer
Emagination,http://www.computercamps.com,national,middle school,Emagination,Computer
iD Tech Camps,http://www.internaldrive.com/,national,middle school,iD Tech Camps,Computer
MehtA+ Machine Learning Bootcamp,https://mehtaplustutoring.com/dhml-bootcamp/,national,middle school,MehtA+ Machine Learning Bootcamp is a virtual research program for grades 8-12,Computer
National Computer Camp,http://www.nccamp.com/,national,middle school,National Computer Camp,Computer
New Media Tour,http://www.newmediatour.com/,national,middle school,New Media Tour,Computer
Star League USACO Camps - RESIDENTIAL & DAY CAMPS,https://starleague.us/content/2018-summer-camps,national,middle school,"Star League USACO Camps - RESIDENTIAL & DAY CAMPS (Irvine and Cupertino, CA)",Computer
SummerTech,http://www.summertech.net/,national,middle school,SummerTech,Computer
Absolute Academy Summer Camps,https://www.absoluteacademy.net/,national,high school,"Absolute Academy Summer Camps in Fairfax County, VA,",Computer
"Center for Mathematics, Science, and Technology",http://www.mathismylife.org/index.html,national,high school,"Center for Mathematics, Science, and Technology (CMST)",Computer
Cybercamps,http://www.cybercamps.com/,national,high school,Cybercamps,Computer
